x	y	side
228.7668936	-125.1500123	right
221.3749738	-98.27351761	right
211.413364	-74.38298972	right
201.9669862	-49.52541334	right
175.6061105	-27.42877553	right
142.417843	-26.75354783	right
117.5709043	-32.48770971	right
93.17797023	-38.37821939	right
69.14822181	-44.58607794	right
44.51542208	-50.12199996	right
18.62064379	-57.16221446	right
-4.895820354	-68.15330728	right
-27.5024213	-79.56888787	right
-50.01099895	-90.54673404	right
-72.55993842	-101.4889442	right
-95.36352416	-113.1106036	right
-118.2513433	-126.189565	right
-138.5960597	-146.5864978	right
-153.9638183	-170.5425546	right
-161.2161334	-202.3110331	right
-156.8873386	-232.1728042	right
-132.3992279	-255.182062	right
-105.5773168	-267.4552678	right
-80.34560755	-274.3649848	right
-56.45040587	-280.89137	right
-32.29846742	-287.6140413	right
-7.774941395	-293.7731971	right
16.60039493	-299.5849431	right
40.63734385	-305.6069445	right
64.34517128	-313.0731653	right
86.78648519	-320.3457834	right
108.4021146	-331.62003	right
130.1859326	-343.3636353	right
152.0950707	-355.3845397	right
174.0714513	-367.3942285	right
196.0699098	-379.3562003	right
218.0931606	-391.269082	right
240.1424838	-403.1341362	right
262.5173672	-414.384668	right
284.9349944	-425.5380547	right
306.849946	-437.6304569	right
328.5302165	-450.1499905	right
350.1923726	-462.6763436	right
372.0367591	-474.8162774	right
394.5510362	-485.6321072	right
416.7545113	-496.9920816	right
438.7217206	-508.7569082	right
460.573225	-520.7096979	right
481.8763279	-532.2155104	right
498.6039843	-546.9914537	right
513.1153836	-564.5703744	right
520.9235377	-584.8397629	right
523.9396293	-606.513415	right
521.0444932	-628.3785311	right
514.3088699	-650.5687012	right
504.977561	-673.4217251	right
495.5688158	-696.6115258	right
486.2823646	-719.7976253	right
476.8939092	-742.9441819	right
466.5444958	-765.6598391	right
455.3022053	-787.8947987	right
443.9353513	-810.194577	right
432.5939642	-832.9050687	right
424.1423172	-851.4835255	right
411.2417804	-856.7172147	right
388.4361313	-858.6646766	right
363.3487257	-860.7363069	right
338.4331404	-864.0141922	right
315.98414	-865.2251028	right
296.1519259	-862.187038	right
273.3250171	-853.650235	right
249.7195196	-845.0880313	right
225.8655145	-836.7178389	right
203.0581953	-828.1649144	right
183.1225818	-816.2252784	right
165.2060175	-802.0900225	right
149.8085157	-783.8996149	right
134.5030999	-764.8028306	right
118.3165722	-744.9222874	right
105.2182198	-728.2548566	right
107.0899534	-708.7225225	right
107.9405401	-683.5447913	right
111.4928305	-660.2952108	right
117.979982	-637.1296376	right
125.3122697	-613.1876003	right
132.2247968	-588.8689114	right
138.1202872	-564.5920907	right
144.4969599	-540.3679557	right
150.8796267	-514.3983358	right
143.7856475	-483.1213606	right
119.0464889	-462.0531455	right
94.99478502	-453.3455428	right
71.74560467	-443.7873412	right
48.47900858	-434.4307066	right
25.15465794	-425.3194441	right
1.849284903	-416.2446245	right
-21.42232372	-407.150417	right
-44.6653581	-397.9985776	right
-67.82638247	-388.6039834	right
-90.97512018	-379.1467205	right
-114.1280138	-369.6731234	right
-137.291439	-360.2044947	right
-160.3749103	-350.5336949	right
-183.3412111	-340.5745729	right
-206.3678198	-330.6420558	right
-229.5125842	-320.9441022	right
-248.855524	-311.4153163	right
-260.2037069	-296.5353642	right
-267.2606591	-276.0165174	right
-269.676762	-255.2840089	right
-266.4183203	-233.1542135	right
-261.6815659	-209.5186803	right
-252.3119198	-189.2983361	right
-242.0222028	-167.5591217	right
-229.9086252	-147.1217832	right
-214.5265676	-130.1804108	right
-196.5595501	-114.9595957	right
-177.6457781	-100.5889517	right
-157.0171274	-88.30891214	right
-135.0073454	-78.00572737	right
-112.5257006	-68.22346484	right
-90.55041857	-56.9395797	right
-67.93310341	-46.89569408	right
-45.00557204	-37.33592975	right
-21.71292592	-27.60197938	right
0.874583123	-16.21206373	right
